event_id,date,country,central_bank,event_type,direction,program_name,surprise,tier,alpha,beta,sigma,r_sq,n_est,reliable,car_m1_0,t_m1_0,car_d0,t_d0,car_d0_p1,t_d0_p1,car_m1_p1,t_m1_p1,car_d0_p5,t_d0_p5,car_d0_p10,t_d0_p10
21,2016-01-29,JP,BoJ,framework,1,NIRP,high,1,-5.145126275073802e-5,0.42336252183451456,0.013390279271452253,0.09461897592332322,195,TRUE,0.007850431780519225,0.4145614467565529,0.01729401340086778,1.2915349299501313,0.037143476109544396,1.9614530288322238,0.02769989448919584,1.1943396560785076,-0.009808948540141168,-0.29905921986990247,-0.12904905241543715,-3.0476506669227637
22,2016-09-21,JP,BoJ,framework,1,YCC,high,1,-0.0012128277426263863,0.23695471127167106,0.017255588181423687,0.01651716655610498,194,TRUE,0.01708549544132963,0.7001366490365123,0.017587830047343822,1.0192541605900056,0.016969803158479506,0.6953957618019442,0.016467468552465316,0.5509807780341407,0.019703881076115856,0.4661722150675409,0.036936875654853846,0.6454075587632497
23,2022-12-20,JP,BoJ,tapering,-1,YCC_adjust,high,1,7.909109685443596e-5,0.1935904195822993,0.012950443310941858,0.05205546038980524,195,TRUE,-0.034070313822615154,-1.8602722210111604,-0.025171022364022574,-1.9436417549317035,-0.034917098782320535,-1.9065075021392244,-0.04381639024091312,-1.9534006746421606,-0.03688890663286168,-1.2738730384160502,-0.060983418104482254,-1.4891111916576298
24,2024-03-19,JP,BoJ,end,-1,NIRP_exit,medium,1,0.0013566617859710063,0.14873781840715117,0.010669589797999,0.010582894080534595,194,TRUE,0.02844447177784957,1.885103294707627,0.0044055970045335045,0.4129115634192179,0.022664689154438124,1.5020591885916752,0.04670356392775419,2.527211984368952,0.015743022776410237,0.6023719990067926,-0.026319266104717156,-0.7800564858696144
25,2009-03-05,GB,BoE,initiation,1,APF,high,1,-6.155142728674062e-4,0.48073923336381186,0.02121232536385857,0.3006351037840633,197,TRUE,0.015886905198542217,0.5295854275881036,-0.010826786465687844,-0.5104007354202881,-0.010549071141105055,-0.3516502604567738,0.016164620523125006,0.43996345757902056,-0.0031981681908069097,-0.06155132330458119,0.006874462667938666,0.09771340231238058
26,2009-08-06,GB,BoE,expansion,1,APF,medium,2,-2.593306511211647e-4,0.4935263317979098,0.02078967717078848,0.3487941543741806,197,TRUE,0.008835634247855884,0.30052111157943684,0.012338862640699427,0.5935091025865822,0.014719121943028,0.5006326386660322,0.011215893550184455,0.3114766577279944,0.019697222342589926,0.38679568144270343,0.02384835315070647,0.34587112466268954
27,2011-10-06,GB,BoE,expansion,1,APF,medium,2,-4.0986927938816495e-5,0.6765802928105534,0.007931740825847368,0.5450516683317105,195,TRUE,0.043621919721330324,3.8888506218976935,0.02415948858760917,3.0459251150617557,0.032037992119693014,2.8561550334085566,0.05150042325341417,3.7487083707833837,0.023227757415170334,1.1955373308657684,0.013404350926029904,0.5095431078293834
28,2016-08-04,GB,BoE,expansion,1,APF_Brexit,high,1,1.166280638443053e-5,0.8349810970134638,0.00950863525293694,0.4373300945105656,197,TRUE,0.011345274405074237,0.8436878955654866,0.015626276832599602,1.6433774581660496,0.01633982172351819,1.2151058944563342,0.012058819295992826,0.7321936725357199,0.03286614205422662,1.4110906508519405,0.025699780462293563,0.8149198235515555
29,2020-03-19,GB,BoE,expansion,1,APF_COVID,high,1,-3.5154580140457826e-4,0.5865199899724216,0.006135637922307218,0.3575181311629438,196,TRUE,0.0017294555233994414,0.19931256437251063,0.011480610447392578,1.8711355840690582,0.04540588785773802,5.232839945341685,0.03565473293374488,3.355033318107049,0.08309459847545662,5.528883582105175,0.04890214985699172,2.4031002387736056
30,2015-02-12,SE,Riksbank,initiation,1,SEK_QE,high,1,2.2367191710615143e-4,0.6258149868636088,0.008060549848369621,0.24518862936755648,197,TRUE,0.0069571079124272584,0.6103080155653319,0.013239429084306753,1.642497017369683,0.0213025444862349,1.8687526218563824,0.015020223314355406,1.075848439245795,0.031351673974632066,1.7394464530200282,0.03977907254229228,1.560594187853721
31,2015-03-18,SE,Riksbank,expansion,1,SEK_QE,medium,2,5.709048960442751e-4,0.599800488374041,0.008307761906376226,0.22587146234910827,195,TRUE,0.0020260227786042086,0.1724428867526779,0.008796990351707125,1.0588881158179815,0.013231168536227286,1.1261575741365148,0.00646020096312437,0.44895349759798797,0.011396813942858495,0.560046118478157,-0.0058664003323769896,-0.2129076726054075
32,2016-02-11,SE,Riksbank,expansion,1,SEK_QE,medium,2,-0.0010318748726095399,0.6579451224536976,0.011540140818859705,0.25862970744388086,197,TRUE,-0.009037440883827574,-0.5537571710635737,-0.0307216073956616,-2.662151864338969,-0.01113909113970122,-0.6825329954609696,0.010545075372132805,0.5275674014979091,-0.006633486277030032,-0.2570666420120307,-0.014468193002936384,-0.3964634767837351
33,2020-03-12,SE,Riksbank,initiation,1,SEK_COVID,high,1,1.1529432584733483e-4,0.7575199036380423,0.007273551728621112,0.4066104886019894,196,TRUE,-0.012625264208576757,-1.2273797271596298,-0.036132176289916676,-4.967611098129422,-0.08569060204233268,-8.330511426716434,-0.062183689960992765,-4.935933843284772,0.006193231973066114,0.34761234398063423,0.0025939214494632157,0.10752611284515086
34,2009-03-12,CH,SNB,initiation,1,FX_QE,high,1,-5.94783950952526e-4,0.4309820757596622,0.019144508575515484,0.3006777019267989,196,TRUE,0.012028369678791553,0.4442705715293163,-0.001688407089431741,-0.08819276205350594,0.01286029986647064,0.47499810234376766,0.026577076634693934,0.8014978440835062,0.014117870257450819,0.30105742202054536,0.0263252406590415,0.41460237415506995
35,2011-09-06,CH,SNB,framework,1,EUR_floor,high,1,-0.0013748885529715853,0.6495150607934546,0.006861705955952303,0.5103992981632103,196,TRUE,0.04890211690638231,7.1268161620888675,0.04890211690638231,7.1268161620888675,0.05659556556741331,5.832238871018741,0.05659556556741331,5.832238871018741,0.050027098806103724,2.9764431317174003,0.06164930392535711,2.708942154930609
36,2015-01-15,CH,SNB,end,-1,EUR_floor_end,high,1,1.603046501383044e-5,0.4820692825942499,0.006049210622374444,0.22218000885186762,197,TRUE,-0.09290644206753408,-10.860057502193877,-0.08624065604741799,-14.256514019934505,-0.15417849191327185,-18.0222948002093,-0.16084427793338793,-15.351339696947372,-0.18353667642542523,-13.568728565465058,-0.12067233933949542,-6.308251881362966
